Identificador_Sensor,Tipo_Sensor,Nombre_Sensor,Identificador_Equipo,Cantidad_Mediciones
8479041,Sensor de velocidad,Sensor de velocidad del accionamiento,678284,611
8480052,Sensor de nivel,Sensor de nivel del sistema,678284,611
8567596,Sensor de velocidad,Sensor de velocidad del accionamiento,398119,611
8590309,Sensor de caudal,Sensor de caudal de preparación,287136,611
8599722,Sensor de temperatura de proceso,Sensor de temperatura de envasado,296570,611
8640617,Sensor de corriente,Sensor de corriente del motor,716342,611
8702029,Sensor de corriente,Sensor de corriente del motor,355455,611
8705455,Sensor de corriente,Sensor de corriente del motor,785030,611
8739812,Sensor de horas de operación,Sensor de horas de operación,435609,611
8829825,Sensor de vibración,Sensor de vibración del equipo,355455,611
8841737,Sensor de vibración,Sensor de vibración del equipo,785030,611
8873242,Sensor de presión,Sensor de presión del sistema de envasado,296570,611
8953530,Sensor de horas de operación,Sensor de horas de operación,195979,611
8972012,Sensor de vibración,Sensor de vibración del equipo,965317,611
9041026,Sensor de vibración,Sensor de vibración del equipo,678284,611
9110677,Sensor de velocidad,Sensor de velocidad del accionamiento,279116,611
9116888,Sensor de corriente,Sensor de corriente del motor,769755,611
9135099,Sensor de presión,Sensor de presión del sistema de preparación,195979,611
9195182,Sensor de velocidad,Sensor de velocidad del accionamiento,512413,611
9196627,Sensor de caudal,Sensor de caudal de congelación,785030,611
9216204,Sensor de caudal,Sensor de caudal de envasado,355293,611
9224810,Sensor de temperatura de proceso,Sensor de temperatura de almacenamiento,468365,611
9477435,Sensor de corriente,Sensor de corriente del motor,375045,611
9487717,Sensor de nivel,Sensor de nivel del sistema,785030,611
9570913,Sensor de temperatura de proceso,Sensor de temperatura de envasado,564024,611
9574184,Sensor de corriente,Sensor de corriente del motor,195979,611
9591265,Sensor de caudal,Sensor de caudal de almacenamiento,769755,611
9635553,Sensor de nivel,Sensor de nivel del sistema,922480,611
9636971,Sensor de velocidad,Sensor de velocidad del accionamiento,565977,611
9653217,Sensor de horas de operación,Sensor de horas de operación,564024,611
9668794,Sensor de velocidad,Sensor de velocidad del accionamiento,291860,611
9669157,Sensor de horas de operación,Sensor de horas de operación,468365,611
9759188,Sensor de temperatura de proceso,Sensor de temperatura de preparación,674210,611
9778073,Sensor de vibración,Sensor de vibración del equipo,398119,611
9907785,Sensor de vibración,Sensor de vibración del equipo,460500,611
9985531,Sensor de nivel,Sensor de nivel del sistema,565977,611
