Archivo,Variable,Valor,Frecuencia
hechos_mediciones_sensores.csv,Nombre_Sensor,Sensor de temperatura de almacenamiento,1222
hechos_mediciones_sensores.csv,Nombre_Sensor,Sensor de presión del sistema de almacenamiento,1222
hechos_mediciones_sensores.csv,Nombre_Sensor,Sensor de caudal de almacenamiento,1222
hechos_mediciones_sensores.csv,Tipo_Sensor,Sensor de temperatura de proceso,17719
hechos_mediciones_sensores.csv,Tipo_Sensor,Sensor de vibración,17719
hechos_mediciones_sensores.csv,Tipo_Sensor,Sensor de presión,17719
hechos_mediciones_sensores.csv,Tipo_Sensor,Sensor de corriente,17719
hechos_mediciones_sensores.csv,Tipo_Sensor,Sensor de caudal,17719
hechos_mediciones_sensores.csv,Tipo_Sensor,Sensor de nivel,17719
hechos_mediciones_sensores.csv,Tipo_Sensor,Sensor de velocidad,17719
hechos_mediciones_sensores.csv,Tipo_Sensor,Sensor de horas de operación,17719
hechos_mediciones_sensores.csv,Caracteristica,Temperatura del producto y del circuito térmico,17719
hechos_mediciones_sensores.csv,Caracteristica,"Vibración del motor, bomba o transmisión",17719
hechos_mediciones_sensores.csv,Caracteristica,Presión del circuito de refrigeración o proceso,17719
hechos_mediciones_sensores.csv,Caracteristica,Demanda eléctrica del motor principal,17719
hechos_mediciones_sensores.csv,Caracteristica,Flujo del producto en la etapa del proceso,17719
hechos_mediciones_sensores.csv,Caracteristica,Nivel del depósito o circuito asociado,17719
hechos_mediciones_sensores.csv,Caracteristica,Velocidad de giro del conjunto motriz,17719
hechos_mediciones_sensores.csv,Caracteristica,Horas acumuladas de funcionamiento,17719
hechos_mediciones_sensores.csv,Unidad_Medida,°C,17719
hechos_mediciones_sensores.csv,Unidad_Medida,mm/s,17719
hechos_mediciones_sensores.csv,Unidad_Medida,bar,17719
hechos_mediciones_sensores.csv,Unidad_Medida,A,17719
hechos_mediciones_sensores.csv,Unidad_Medida,L/min,17719
hechos_mediciones_sensores.csv,Unidad_Medida,%,17719
hechos_mediciones_sensores.csv,Unidad_Medida,rpm,17719
hechos_mediciones_sensores.csv,Unidad_Medida,h,17719
hechos_mediciones_sensores.csv,Turno,Turno mañana,110952
hechos_mediciones_sensores.csv,Turno,Turno tarde,27728
hechos_mediciones_sensores.csv,Turno,Turno nocturno,3072
hechos_mediciones_sensores.csv,Calidad_Medicion,Válida,130402
hechos_mediciones_sensores.csv,Calidad_Medicion,Revisar,11350
observaciones_diarias_equipo.csv,Tipo_Equipo,Pasteurizador,1833
observaciones_diarias_equipo.csv,Tipo_Equipo,Congelador industrial,1833
observaciones_diarias_equipo.csv,Tipo_Equipo,Mezclador industrial,1833
observaciones_diarias_equipo.csv,Tipo_Equipo,Homogeneizador,1833
observaciones_diarias_equipo.csv,Tipo_Equipo,Túnel de congelación,1833
observaciones_diarias_equipo.csv,Tipo_Equipo,Envasadora automática,1222
observaciones_diarias_equipo.csv,Tipo_Equipo,Bomba de circulación,1222
observaciones_diarias_equipo.csv,Tipo_Equipo,Dosificadora de helado,1222
observaciones_diarias_equipo.csv,Tipo_Equipo,Compresor de refrigeración,1222
observaciones_diarias_equipo.csv,Tipo_Equipo,Cámara frigorífica,1222
observaciones_diarias_equipo.csv,Tipo_Equipo,Transportador de producto,1222
observaciones_diarias_equipo.csv,Tipo_Equipo,Selladora de envases,1222
observaciones_diarias_equipo.csv,Proceso,Preparación,5499
observaciones_diarias_equipo.csv,Proceso,Envasado,4888
observaciones_diarias_equipo.csv,Proceso,Congelación,3666
observaciones_diarias_equipo.csv,Proceso,Refrigeración,2444
observaciones_diarias_equipo.csv,Proceso,Almacenamiento,1222
observaciones_diarias_equipo.csv,Línea,Línea de Helados 01,4888
observaciones_diarias_equipo.csv,Línea,Línea de Helados 04,4277
observaciones_diarias_equipo.csv,Línea,Línea de Helados 03,4277
observaciones_diarias_equipo.csv,Línea,Línea de Helados 02,4277
observaciones_diarias_equipo.csv,Criticidad,Media,7332
observaciones_diarias_equipo.csv,Criticidad,Alta,7332
observaciones_diarias_equipo.csv,Criticidad,Baja,3055
observaciones_diarias_equipo.csv,Conjunto_Temporal,Entrenamiento,12412
observaciones_diarias_equipo.csv,Conjunto_Temporal,Validacion,2668
observaciones_diarias_equipo.csv,Conjunto_Temporal,Prueba,2639
